Company / Account,Lead ID,Annual Revenue,Vertical (New),MAU,연매출 구간,MAU 구간,2차 QC,티어 구분 (실시간 반영),Tier_클러스터링 기준,Tier (Vertical Quantile)
삼영전자,00QIg0000024k2m,"227,807,000,000",제조 & 유통 | Manufacturing & Distribution,"16,875",1000억 - 3000억 미만  ,1만 - 5만 미만 ,Pass,,,Tier 3
삼구아이앤씨,00QIg0000024jRd,"1,677,390,000,000",기타 | Others,"16,869",1조 이상,1만 - 5만 미만 ,Pass,,,Tier 3
인성정보,00QIg0000024jrD,"314,506,000,000",B2B & 솔루션 | B2B & Solutions,"16,869",3000억 - 1조 미만,1만 - 5만 미만 ,Pass,,,Tier 4
켐코,00QIg0000024jrd,"310,309,000,000",제조 & 유통 | Manufacturing & Distribution,"16,869",3000억 - 1조 미만,1만 - 5만 미만 ,Pass,,,Tier 3
KISCO홀딩스,00QIg0000024jRD,"1,810,610,000,000",제조 & 유통 | Manufacturing & Distribution,"16,869",1조 이상,1만 - 5만 미만 ,Pass,,,Tier 3
데이타솔루션,00QIg0000025TdV,"99,118,759,000",B2B & 솔루션 | B2B & Solutions,"16,848",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 4
씨티오커뮤니케이션,00QTJ000008sEUQ,"13,306,660,000",커머스 | Commerce,"16,785",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 5
고려대학교,00Q2w00000iYqaz,"443,700,000,000",교육 | Education,"16,753",3000억 - 1조 미만,1만 - 5만 미만 ,Pass,,,Tier 4
실로암 안과병원,00QTJ00000GRtnC,"18,200,000,000",헬스케어 | Healthcare,"16,716",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 5
제일약품,00QIg0000024ja9,"722,230,000,000",제조 & 유통 | Manufacturing & Distribution,"16,703",3000억 - 1조 미만,1만 - 5만 미만 ,Pass,,,Tier 3
에이랜드,00QTJ00000J9brt,"23,900,000,000",커머스 | Commerce,"16,698",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 5
진양개발,00QTJ00000jHzup,"19,000,000,000",여행 & 숙박 | Travel & Hospitality,"16,686",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 5
삼라마이다스,00QIg0000024jg1,"507,038,000,000",기타 | Others,"16,684",3000억 - 1조 미만,1만 - 5만 미만 ,Pass,,,Tier 3
